"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,JCR Abbreviated Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1599,JOURNAL OF ADOLESCENT HEALTH,J ADOLESCENT HEALTH,"15,535",4.021,0.029230
1602,ANALYST,ANALYST,"29,953",4.019,0.041190
1603,DYES AND PIGMENTS,DYES PIGMENTS,"16,510",4.018,0.017830
1603,EuroIntervention,EUROINTERVENTION,"6,097",4.018,0.016860
1605,Asian Journal of Pharmaceutical Sciences,ASIAN J PHARM SCI,"1,525",4.016,0.003060
1605,JOURNAL OF VIRAL HEPATITIS,J VIRAL HEPATITIS,"4,816",4.016,0.009630
1607,HEART FAILURE REVIEWS,HEART FAIL REV,"2,598",4.015,0.005280
1608,PSYCHONEUROENDOCRINOLOGY,PSYCHONEUROENDOCRINO,"16,809",4.013,0.028130
1609,ATMOSPHERIC ENVIRONMENT,ATMOS ENVIRON,"56,017",4.012,0.049870
1609,JOURNAL OF LEUKOCYTE BIOLOGY,J LEUKOCYTE BIOL,"16,921",4.012,0.019560
1611,Scientific Reports,SCI REP-UK,"302,086",4.011,1.061370
1612,ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,"8,687",4.010,0.009090
1613,DIABETES & METABOLISM,DIABETES METAB,"3,483",4.008,0.004010
1614,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,INT J FOOD MICROBIOL,"26,840",4.006,0.019630
1615,INFLAMMATORY BOWEL DISEASES,INFLAMM BOWEL DIS,"14,653",4.005,0.026480
1616,CARCINOGENESIS,CARCINOGENESIS,"19,651",4.004,0.017910
1617,BELL LABS TECHNICAL JOURNAL,BELL LABS TECH J,563,4.000,0.000740
1617,DNA RESEARCH,DNA RES,"2,996",4.000,0.005130
1617,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,"1,665",4.000,0.001100
1617,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,"1,665",4.000,0.001100
1617,Skeletal Muscle,SKELET MUSCLE,"1,085",4.000,0.003040
1622,Current Diabetes Reports,CURR DIABETES REP,"3,870",3.996,0.010610
1623,NEUROCHEMISTRY INTERNATIONAL,NEUROCHEM INT,"8,775",3.994,0.009020
1624,MOLECULAR PHYLOGENETICS AND EVOLUTION,MOL PHYLOGENET EVOL,"19,188",3.992,0.028450
1625,Fungal Ecology,FUNGAL ECOL,"2,361",3.990,0.006030
1626,CTS-Clinical and Translational Science,CTS-CLIN TRANSL SCI,"1,351",3.989,0.003190
1627,JOURNAL OF DERMATOLOGICAL SCIENCE,J DERMATOL SCI,"5,066",3.986,0.007140
1627,Science China-Physics Mechanics & Astronomy,SCI CHINA PHYS MECH,"2,801",3.986,0.006610
1629,International Journal of Digital Earth,INT J DIGIT EARTH,"1,512",3.985,0.003050
1630,CURRENT ALLERGY AND ASTHMA REPORTS,CURR ALLERGY ASTHM R,"2,600",3.982,0.005460
1631,International Journal of Sports Physiology and Performance,INT J SPORT PHYSIOL,"4,936",3.979,0.009650
1632,ChemElectroChem,CHEMELECTROCHEM,"5,658",3.975,0.013620
1632,TECTONICS,TECTONICS,"11,293",3.975,0.012840
1634,COLLOIDS AND SURFACES B-BIOINTERFACES,COLLOID SURFACE B,"28,072",3.973,0.033760
1634,JOURNAL OF CRIMINAL JUSTICE,J CRIM JUST,"3,929",3.973,0.004920
1636,GEOTEXTILES AND GEOMEMBRANES,GEOTEXT GEOMEMBRANES,"3,857",3.972,0.003220
1637,GEOLOGICAL SOCIETY OF AMERICA BULLETIN,GEOL SOC AM BULL,"19,298",3.970,0.011480
1638,JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS,J GEOPHYS RES-PLANET,"11,218",3.969,0.015960
1638,Obesity,OBESITY,"18,844",3.969,0.036250
1640,Communications in Nonlinear Science and Numerical Simulation,COMMUN NONLINEAR SCI,"11,888",3.967,0.019480
1640,JOURNAL OF CARDIAC FAILURE,J CARD FAIL,"5,339",3.967,0.009310
1642,Journal of Chemical Information and Modeling,J CHEM INF MODEL,"16,352",3.966,0.020080
1643,ALLERGOLOGY INTERNATIONAL,ALLERGOL INT,"2,061",3.965,0.003810
1644,EUROPEAN RADIOLOGY,EUR RADIOL,"19,597",3.962,0.033840
1644,Quaternary Geochronology,QUAT GEOCHRONOL,"3,104",3.962,0.007230
1646,Therapeutic Advances in Gastroenterology,THER ADV GASTROENTER,"1,498",3.961,0.003880
1647,SURVEY OF OPHTHALMOLOGY,SURV OPHTHALMOL,"5,504",3.959,0.004620
1648,ENVIRONMENTAL REVIEWS,ENVIRON REV,"2,099",3.958,0.002870
1649,International Journal of Contemporary Hospitality Management,INT J CONTEMP HOSP M,"4,672",3.957,0.003300
1650,Research in Organizational Behavior,RES ORGAN BEHAV,"3,851",3.955,0.001660
1651,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,"22,675",3.954,0.024040
1652,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,INT J ROBUST NONLIN,"7,343",3.953,0.015800
1653,Biogeosciences,BIOGEOSCIENCES,"18,212",3.951,0.046690
1653,Current Forestry Reports,CURR FOR REP,273,3.951,0.000980
1653,TRAFFIC,TRAFFIC,"6,603",3.951,0.008930
1656,NUTRITIONAL NEUROSCIENCE,NUTR NEUROSCI,"1,778",3.950,0.002260
1657,Current Oncology Reports,CURR ONCOL REP,"1,961",3.949,0.004300
1657,HORMONES AND BEHAVIOR,HORM BEHAV,"10,874",3.949,0.012620
1657,RNA,RNA,"13,106",3.949,0.026720
1660,IMMUNOLOGY AND CELL BIOLOGY,IMMUNOL CELL BIOL,"5,452",3.947,0.008820
1661,PLASTIC AND RECONSTRUCTIVE SURGERY,PLAST RECONSTR SURG,"35,448",3.946,0.032870
1662,NeuroImage-Clinical,NEUROIMAGE-CLIN,"5,762",3.943,0.022650
1663,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,TUNN UNDERGR SP TECH,"8,362",3.942,0.009160
1664,EUROPEAN PSYCHIATRY,EUR PSYCHIAT,"5,610",3.941,0.008420
1664,EUROPEAN PSYCHIATRY,EUR PSYCHIAT,"5,610",3.941,0.008420
1666,CNS SPECTRUMS,CNS SPECTRUMS,"2,368",3.940,0.003340
1667,PSYCHOSOMATIC MEDICINE,PSYCHOSOM MED,"12,747",3.937,0.009620
1667,PSYCHOSOMATIC MEDICINE,PSYCHOSOM MED,"12,747",3.937,0.009620
1669,Reaction Chemistry & Engineering,REACT CHEM ENG,664,3.935,0.002050
1670,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,IEEE T CIRCUITS-I,"14,168",3.934,0.021840
1671,FOOD REVIEWS INTERNATIONAL,FOOD REV INT,"1,776",3.933,0.001030
1672,CELL CALCIUM,CELL CALCIUM,"5,205",3.932,0.006330
1673,Annals of Intensive Care,ANN INTENSIVE CARE,"2,184",3.931,0.006400
1674,PLANT AND CELL PHYSIOLOGY,PLANT CELL PHYSIOL,"16,107",3.929,0.018200
1674,Stem Cell Research,STEM CELL RES,"3,077",3.929,0.008420
1676,Frontiers in Systems Neuroscience,FRONT SYST NEUROSCI,"4,801",3.928,0.015360
1676,PLANT MOLECULAR BIOLOGY,PLANT MOL BIOL,"14,112",3.928,0.009620
1678,Current Osteoporosis Reports,CURR OSTEOPOROS REP,"1,786",3.927,0.004610
1678,POSTHARVEST BIOLOGY AND TECHNOLOGY,POSTHARVEST BIOL TEC,"11,753",3.927,0.009870
1680,BIOORGANIC CHEMISTRY,BIOORG CHEM,"3,047",3.926,0.003850
1680,THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,"20,017",3.926,0.013520
1682,Journal of NeuroInterventional Surgery,J NEUROINTERV SURG,"4,407",3.925,0.011860
1682,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,STRUCT MULTIDISCIP O,"8,696",3.925,0.012120
1684,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,J DTSCH DERMATOL GES,"2,750",3.924,0.003550
1685,RADIOGRAPHICS,RADIOGRAPHICS,"11,768",3.923,0.009160
1686,ANNALS OF THORACIC SURGERY,ANN THORAC SURG,"36,145",3.919,0.040600
1687,COMMON MARKET LAW REVIEW,COMMON MKT LAW REV,"1,458",3.918,0.001910
1687,JOURNAL OF HEADACHE AND PAIN,J HEADACHE PAIN,"3,308",3.918,0.007210
1689,CELLULOSE,CELLULOSE,"13,067",3.917,0.015200
1689,JOURNAL OF PSYCHIATRIC RESEARCH,J PSYCHIATR RES,"15,180",3.917,0.020840
1689,JOURNAL OF PSYCHIATRIC RESEARCH,J PSYCHIATR RES,"15,180",3.917,0.020840
1689,LEARNING AND INSTRUCTION,LEARN INSTR,"5,202",3.917,0.007320
1689,Liquid Crystals Reviews,LIQ CRYST REV,176,3.917,0.000810
1689,POLICY STUDIES JOURNAL,POLICY STUD J,"2,459",3.917,0.003030
1695,Annual Review of Political Science,ANNU REV POLIT SCI,"3,666",3.915,0.008010
1696,LITHOS,LITHOS,"21,798",3.913,0.029740
1696,OCEANOGRAPHY,OCEANOGRAPHY,"3,813",3.913,0.007790
1698,Hepatobiliary Surgery and Nutrition,HEPATOBIL SURG NUTR,719,3.911,0.002230
1699,Biomedical Optics Express,BIOMED OPT EXPRESS,"9,547",3.910,0.021740
1700,ENGINEERING GEOLOGY,ENG GEOL,"14,026",3.909,0.015590
1701,Expert Review of Clinical Immunology,EXPERT REV CLIN IMMU,"2,562",3.907,0.006620
1702,MOLECULAR BIOLOGY OF THE CELL,MOL BIOL CELL,"29,948",3.905,0.043300
1702,WORLD DEVELOPMENT,WORLD DEV,"19,090",3.905,0.023220
1704,Journal of Diabetes Investigation,J DIABETES INVEST,"2,564",3.902,0.005810
1704,Stem Cells International,STEM CELLS INT,"4,988",3.902,0.012620
1706,Frontiers in Cellular Neuroscience,FRONT CELL NEUROSCI,"9,711",3.900,0.035850
1707,JOURNAL OF QUANTITATIVE CRIMINOLOGY,J QUANT CRIMINOL,"2,388",3.899,0.003590
1707,STEEL AND COMPOSITE STRUCTURES,STEEL COMPOS STRUCT,"3,566",3.899,0.004620
1709,AUTISM,AUTISM,"4,106",3.898,0.008880
1710,PHARMACEUTICAL RESEARCH,PHARM RES-DORDR,"21,414",3.896,0.013960
1711,AMERICAN POLITICAL SCIENCE REVIEW,AM POLIT SCI REV,"14,993",3.895,0.018270
1711,Toxins,TOXINS,"7,709",3.895,0.015920
1713,CURRENT MEDICINAL CHEMISTRY,CURR MED CHEM,"16,061",3.894,0.014540
1714,INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,"3,655",3.892,0.002900
1714,INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,"3,655",3.892,0.002900
1716,APPLIED CLAY SCIENCE,APPL CLAY SCI,"15,784",3.890,0.014860
1716,Open Biology,OPEN BIOL,"2,316",3.890,0.010160
1718,SEISMOLOGICAL RESEARCH LETTERS,SEISMOL RES LETT,"4,492",3.888,0.010830
1719,JOURNAL OF BIOGEOGRAPHY,J BIOGEOGR,"15,971",3.884,0.020630
1720,Frontiers of Environmental Science & Engineering,FRONT ENV SCI ENG,"2,039",3.883,0.003570
1721,Journal of Informetrics,J INFORMETR,"2,672",3.879,0.005050
1721,Journal of Informetrics,J INFORMETR,"2,672",3.879,0.005050
1723,Dialogues in Human Geography,DIALOGUES HUM GEOGR,605,3.875,0.001780
1723,PROGRESS IN PLANNING,PROG PLANN,941,3.875,0.000700
1725,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,J EPIDEMIOL COMMUN H,"14,305",3.872,0.017710
1725,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,J EPIDEMIOL COMMUN H,"14,305",3.872,0.017710
1725,PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,PROG CRYST GROWTH CH,982,3.872,0.000810
1728,Journal of Neuroimmune Pharmacology,J NEUROIMMUNE PHARM,"2,486",3.870,0.004740
1729,FIELD CROPS RESEARCH,FIELD CROP RES,"16,790",3.868,0.016630
1730,BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,BRIT J CLIN PHARMACO,"14,156",3.867,0.018840
1731,Cancer Prevention Research,CANCER PREV RES,"5,130",3.866,0.009010
1731,OPTICS LETTERS,OPT LETT,"70,631",3.866,0.092970
1733,BIOLOGY OF THE CELL,BIOL CELL,"2,269",3.863,0.002060
1733,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,JAIDS-J ACQ IMM DEF,"14,479",3.863,0.037150
1735,ACS Chemical Neuroscience,ACS CHEM NEUROSCI,"5,238",3.861,0.013310
1736,Journal of Natural Gas Science and Engineering,J NAT GAS SCI ENG,"9,021",3.859,0.021060
1737,JOURNAL OF CHROMATOGRAPHY A,J CHROMATOGR A,"61,427",3.858,0.044730
1737,JOURNAL OF MEMORY AND LANGUAGE,J MEM LANG,"9,683",3.858,0.011460
1737,JOURNAL OF MEMORY AND LANGUAGE,J MEM LANG,"9,683",3.858,0.011460
1737,MAGNETIC RESONANCE IN MEDICINE,MAGN RESON MED,"32,648",3.858,0.034970
1741,Academy of Management Perspectives,ACAD MANAGE PERSPECT,"2,954",3.857,0.004770
1741,Annual Review of Statistics and Its Application,ANNU REV STAT APPL,353,3.857,0.002740
1741,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,"12,124",3.857,0.018650
1741,JOURNAL OF HUMAN RESOURCES,J HUM RESOUR,"5,323",3.857,0.013090
1745,AMERICAN NATURALIST,AM NAT,"28,666",3.855,0.018570
1745,HUMAN GENE THERAPY,HUM GENE THER,"5,639",3.855,0.007540
1747,CITIES,CITIES,"5,540",3.853,0.007510
1747,MOLECULAR PHARMACOLOGY,MOL PHARMACOL,"17,317",3.853,0.013060
1749,CATENA,CATENA,"13,025",3.851,0.016610
1749,CURRENT OPINION IN RHEUMATOLOGY,CURR OPIN RHEUMATOL,"4,866",3.851,0.008130
1749,CURRENT TREATMENT OPTIONS IN ONCOLOGY,CURR TREAT OPTION ON,"1,406",3.851,0.003650
1752,COASTAL ENGINEERING,COAST ENG,"7,701",3.850,0.007460
1752,JOURNAL OF COUNSELING PSYCHOLOGY,J COUNS PSYCHOL,"8,144",3.850,0.006230
1754,DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,"9,734",3.847,0.009800
1754,EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,EUR J CARDIO-THORAC,"17,156",3.847,0.026400
1756,HABITAT INTERNATIONAL,HABITAT INT,"5,591",3.846,0.007070
1756,Seminars in Fetal & Neonatal Medicine,SEMIN FETAL NEONAT M,"2,428",3.846,0.004670
1758,Frontiers in Pharmacology,FRONT PHARMACOL,"11,518",3.845,0.028540
1759,International Journal of Machine Learning and Cybernetics,INT J MACH LEARN CYB,"1,998",3.844,0.003230
1760,CRIMINOLOGY,CRIMINOLOGY,"6,782",3.842,0.005330
1761,Journal of the International Society of Sports Nutrition,J INT SOC SPORT NUTR,"1,632",3.841,0.002130
1762,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,AM J CLIN DERMATOL,"2,574",3.840,0.004380
1762,Toxin Reviews,TOXIN REV,600,3.840,0.000810
1764,CHINESE CHEMICAL LETTERS,CHINESE CHEM LETT,"7,055",3.839,0.008630
1765,INFLAMMOPHARMACOLOGY,INFLAMMOPHARMACOLOGY,"1,522",3.838,0.001770
1766,NEOPLASIA,NEOPLASIA,"6,599",3.837,0.007690
1767,Journal of the Taiwan Institute of Chemical Engineers,J TAIWAN INST CHEM E,"8,785",3.834,0.014580
1767,PRECAMBRIAN RESEARCH,PRECAMBRIAN RES,"17,902",3.834,0.020080
1769,Energy Reports,ENERGY REP,447,3.830,0.000790
1769,OSTEOPOROSIS INTERNATIONAL,OSTEOPOROSIS INT,"16,709",3.830,0.024860
1771,DRUG DELIVERY,DRUG DELIV,"4,394",3.829,0.006330
1771,RESPIRATORY RESEARCH,RESP RES,"7,123",3.829,0.012270
1773,Current Opinion in Food Science,CURR OPIN FOOD SCI,"1,162",3.828,0.002860
1773,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,J POLICY ANAL MANAG,"2,534",3.828,0.006270
1775,ENVIRONMENTAL POLITICS,ENVIRON POLIT,"2,613",3.827,0.003490
1776,CIRP ANNALS-MANUFACTURING TECHNOLOGY,CIRP ANN-MANUF TECHN,"11,324",3.826,0.007590
1777,CLINICAL ORAL IMPLANTS RESEARCH,CLIN ORAL IMPLAN RES,"13,819",3.825,0.015890
1777,STANFORD LAW REVIEW,STANFORD LAW REV,"4,027",3.825,0.003950
1779,INTERNATIONAL BIODETERIORATION & BIODEGRADATION,INT BIODETER BIODEGR,"10,708",3.824,0.011960
1779,Journal of Integrative Plant Biology,J INTEGR PLANT BIOL,"4,282",3.824,0.006630
1781,TAXON,TAXON,"5,305",3.823,0.005980
1782,SUSTAINABLE DEVELOPMENT,SUSTAIN DEV,"2,257",3.821,0.001420
1783,HEALTH TECHNOLOGY ASSESSMENT,HEALTH TECHNOL ASSES,"5,804",3.819,0.011360
1784,Current Psychiatry Reports,CURR PSYCHIAT REP,"4,050",3.816,0.009260
1784,Current Psychiatry Reports,CURR PSYCHIAT REP,"4,050",3.816,0.009260
1786,RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,RETINA-J RET VIT DIS,"11,633",3.815,0.020760
1786,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,"10,332",3.815,0.012320
1788,IEEE PERVASIVE COMPUTING,IEEE PERVAS COMPUT,"2,247",3.813,0.001620
1789,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,INVEST OPHTH VIS SCI,"52,234",3.812,0.065800
1790,CELLULAR AND MOLECULAR NEUROBIOLOGY,CELL MOL NEUROBIOL,"4,488",3.811,0.005740
1790,REJUVENATION RESEARCH,REJUV RES,"1,927",3.811,0.002260
1790,Viruses-Basel,VIRUSES-BASEL,"8,083",3.811,0.024090
1793,BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,BEST PRACT RES CL EN,"3,845",3.808,0.005900
1794,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,"48,466",3.806,0.044390
1795,BIOGERONTOLOGY,BIOGERONTOLOGY,"2,208",3.805,0.003740
1796,ASSESSMENT,ASSESSMENT,"4,413",3.804,0.007380
1796,IEEE ANTENNAS AND PROPAGATION MAGAZINE,IEEE ANTENN PROPAG M,"3,505",3.804,0.004800
1798,NEUROGASTROENTEROLOGY AND MOTILITY,NEUROGASTROENT MOTIL,"8,314",3.803,0.014500
1799,JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,J INVEST ALLERG CLIN,"2,192",3.802,0.002210
1800,ENDOCRINOLOGY,ENDOCRINOLOGY,"43,103",3.800,0.031160
1800,Journal of Destination Marketing & Management,J DESTIN MARK MANAGE,994,3.800,0.001130
1802,SEMINARS IN NUCLEAR MEDICINE,SEMIN NUCL MED,"2,245",3.798,0.002710
1802,World Journal of Emergency Surgery,WORLD J EMERG SURG,"1,217",3.798,0.002690
1804,JOURNAL OF BUSINESS ETHICS,J BUS ETHICS,"28,253",3.796,0.017780
1805,MEDICAL CARE,MED CARE,"20,250",3.795,0.021140
1805,MEDICAL CARE,MED CARE,"20,250",3.795,0.021140
1807,AQUATIC TOXICOLOGY,AQUAT TOXICOL,"15,194",3.794,0.014410
1808,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,BBA-BIOMEMBRANES,"18,087",3.790,0.021920
1809,TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,T I BRIT GEOGR,"3,989",3.789,0.004740
1810,FOOD POLICY,FOOD POLICY,"6,102",3.788,0.009030
1810,FOOD POLICY,FOOD POLICY,"6,102",3.788,0.009030
1810,International Review of Cell and Molecular Biology,INT REV CEL MOL BIO,"1,916",3.788,0.004800
1813,NICOTINE & TOBACCO RESEARCH,NICOTINE TOB RES,"9,737",3.786,0.023620
1813,NICOTINE & TOBACCO RESEARCH,NICOTINE TOB RES,"9,737",3.786,0.023620
1815,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,J STEROID BIOCHEM,"11,066",3.785,0.013630
1815,Journal of the American College of Radiology,J AM COLL RADIOL,"4,191",3.785,0.009760
1815,MATHEMATICAL PROGRAMMING,MATH PROGRAM,"10,771",3.785,0.022470
1815,PLANT SCIENCE,PLANT SCI,"14,435",3.785,0.013100
1819,Current Opinion in Insect Science,CURR OPIN INSECT SCI,"1,563",3.784,0.006370
1820,Advances in Protein Chemistry and Structural Biology,ADV PROTEIN CHEM STR,729,3.783,0.001560
1820,NEW JOURNAL OF PHYSICS,NEW J PHYS,"30,191",3.783,0.076930
1822,Frontiers in Chemistry,FRONT CHEM,"1,982",3.782,0.005110
1822,MARINE POLLUTION BULLETIN,MAR POLLUT BULL,"31,308",3.782,0.032910
1822,METHODS,METHODS,"21,871",3.782,0.025690
1825,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,J PROD INNOVAT MANAG,"6,596",3.781,0.005660
1825,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,J PROD INNOVAT MANAG,"6,596",3.781,0.005660
1827,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,"9,195",3.780,0.015990
1827,JOURNAL OF PROTEOME RESEARCH,J PROTEOME RES,"21,216",3.780,0.035820
1827,Nucleic Acid Therapeutics,NUCLEIC ACID THER,854,3.780,0.003000
1827,POLYMER DEGRADATION AND STABILITY,POLYM DEGRAD STABIL,"21,559",3.780,0.013340
1831,Archives of Disease in Childhood-Fetal and Neonatal Edition,ARCH DIS CHILD-FETAL,"4,193",3.776,0.008400
1832,FOOD AND CHEMICAL TOXICOLOGY,FOOD CHEM TOXICOL,"26,870",3.775,0.022540
1832,Reviews in Fisheries Science & Aquaculture,REV FISH SCI AQUAC,338,3.775,0.001110
1834,JOURNAL OF THE ENERGY INSTITUTE,J ENERGY INST,"1,356",3.774,0.002560
1835,ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,"2,525",3.772,0.002730
1835,Marine Drugs,MAR DRUGS,"11,032",3.772,0.016940
1837,POLYMER,POLYMER,"60,140",3.771,0.040490
1838,Current Atherosclerosis Reports,CURR ATHEROSCLER REP,"2,392",3.769,0.004770
1838,INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,INT J ROCK MECH MIN,"20,189",3.769,0.014360
1840,ASTROBIOLOGY,ASTROBIOLOGY,"3,625",3.768,0.005330
1841,PHYTOTHERAPY RESEARCH,PHYTOTHER RES,"13,215",3.766,0.008680
1842,Earth Surface Dynamics,EARTH SURF DYNAM,709,3.765,0.003080
1843,Journal of Biophotonics,J BIOPHOTONICS,"3,309",3.763,0.006210
1844,AMERICAN JOURNAL OF PATHOLOGY,AM J PATHOL,"38,051",3.762,0.026180
1844,Current Pollution Reports,CURR POLLUT REP,281,3.762,0.000670
1844,MODERN LANGUAGE JOURNAL,MOD LANG J,"4,142",3.762,0.003310
1847,Surgery for Obesity and Related Diseases,SURG OBES RELAT DIS,"6,229",3.758,0.014260
1848,NEUROREHABILITATION AND NEURAL REPAIR,NEUROREHAB NEURAL RE,"5,071",3.757,0.008480
1849,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,IEEE T MICROW THEORY,"25,821",3.756,0.032050
1850,JOURNAL OF NEUROTRAUMA,J NEUROTRAUM,"14,754",3.754,0.019760
1850,JOURNAL OF STRUCTURAL BIOLOGY,J STRUCT BIOL,"10,153",3.754,0.024190
1850,Wiley Interdisciplinary Reviews-Developmental Biology,WIRES DEV BIOL,"1,266",3.754,0.005300
1853,IEEE ELECTRON DEVICE LETTERS,IEEE ELECTR DEVICE L,"14,904",3.753,0.020200
1853,JOURNAL OF ACCOUNTING & ECONOMICS,J ACCOUNT ECON,"10,828",3.753,0.009060
1853,JOURNAL OF COMMUNICATION,J COMMUN,"7,883",3.753,0.007950
1856,CURRENT OPINION IN INFECTIOUS DISEASES,CURR OPIN INFECT DIS,"3,631",3.752,0.007590
1857,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,ENVIRON IMPACT ASSES,"4,236",3.749,0.003220
1857,GENE THERAPY,GENE THER,"7,223",3.749,0.007030
1857,HEADACHE,HEADACHE,"7,897",3.749,0.009920
1860,INTERNATIONAL AFFAIRS,INT AFF,"2,612",3.748,0.004310
1861,COGNITIVE PSYCHOLOGY,COGNITIVE PSYCHOL,"7,958",3.746,0.004750
1861,COGNITIVE PSYCHOLOGY,COGNITIVE PSYCHOL,"7,958",3.746,0.004750
1863,Movement Ecology,MOV ECOL,608,3.745,0.002970
1864,BUILDING RESEARCH AND INFORMATION,BUILD RES INF,"3,256",3.744,0.002630
1864,JOURNAL OF MOLECULAR ENDOCRINOLOGY,J MOL ENDOCRINOL,"4,033",3.744,0.005720
1864,Journal of Intellectual Capital,J INTELLECT CAP,"2,591",3.744,0.000520
1864,Retrovirology,RETROVIROLOGY,"3,644",3.744,0.009080
1868,BIOMEDICINE & PHARMACOTHERAPY,BIOMED PHARMACOTHER,"14,983",3.743,0.023470
1869,AIDS PATIENT CARE AND STDS,AIDS PATIENT CARE ST,"3,526",3.742,0.006910
1869,AIDS PATIENT CARE AND STDS,AIDS PATIENT CARE ST,"3,526",3.742,0.006910
1871,Mycotoxin Research,MYCOTOXIN RES,981,3.741,0.001160
1872,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,EUR CHILD ADOLES PSY,"5,186",3.740,0.009270
1872,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,EUR CHILD ADOLES PSY,"5,186",3.740,0.009270
1872,Structural Control & Health Monitoring,STRUCT CONTROL HLTH,"3,353",3.740,0.005220
1875,JOURNAL OF PEDIATRICS,J PEDIATR-US,"32,002",3.739,0.045000
1875,New Biotechnology,NEW BIOTECHNOL,"2,938",3.739,0.004630
1877,SEMINARS IN HEMATOLOGY,SEMIN HEMATOL,"2,157",3.738,0.003950
1878,ACS Medicinal Chemistry Letters,ACS MED CHEM LETT,"5,475",3.737,0.013670
1879,PHYSICAL REVIEW B,PHYS REV B,"371,919",3.736,0.363270
1880,MOLECULAR AND CELLULAR BIOLOGY,MOL CELL BIOL,"53,856",3.735,0.033990
1881,European Heart Journal-Acute Cardiovascular Care,EUR HEART J-ACUTE CA,"1,466",3.734,0.005340
1881,HIV MEDICINE,HIV MED,"2,660",3.734,0.006560
1883,American Economic Journal-Economic Policy,AM ECON J-ECON POLIC,"2,049",3.733,0.017170
1884,JOURNAL OF MAGNETIC RESONANCE IMAGING,J MAGN RESON IMAGING,"17,147",3.732,0.027780
1885,KOREAN JOURNAL OF RADIOLOGY,KOREAN J RADIOL,"2,687",3.730,0.004800
1885,ORAL ONCOLOGY,ORAL ONCOL,"9,033",3.730,0.013380
1887,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,AM J PHYSIOL-GASTR L,"14,295",3.729,0.014090
1887,Physica Status Solidi-Rapid Research Letters,PHYS STATUS SOLIDI-R,"3,346",3.729,0.008100
1889,Fluids and Barriers of the CNS,FLUIDS BARRIERS CNS,"1,127",3.727,0.002640
1889,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,IND MANAGE DATA SYST,"3,736",3.727,0.002640
